event_name,event_date,location,event_url,fight_url,fighter_1,fighter_2,winner,weight_class,method,method_detail,round,time
UFC Freedom 250,"June 14, 2026","Washington, DC, USA",http://ufcstats.com/event-details/48544433372ecfa6,http://ufcstats.com/fight-details/7208e40818401e88,Justin Gaethje,Ilia Topuria,Justin Gaethje,Lightweight,KO/TKO,,4,5:00
UFC Freedom 250,"June 14, 2026","Washington, DC, USA",http://ufcstats.com/event-details/48544433372ecfa6,http://ufcstats.com/fight-details/5727d5be8c373346,Ciryl Gane,Alex Pereira,Ciryl Gane,Heavyweight,KO/TKO,Punches,2,1:27
UFC Freedom 250,"June 14, 2026","Washington, DC, USA",http://ufcstats.com/event-details/48544433372ecfa6,http://ufcstats.com/fight-details/60de0423ae6ed097,Sean O'Malley,Aiemann Zahabi,Sean O'Malley,Bantamweight,KO/TKO,Punches,2,4:02
UFC Freedom 250,"June 14, 2026","Washington, DC, USA",http://ufcstats.com/event-details/48544433372ecfa6,http://ufcstats.com/fight-details/30cdb851f6c63444,Josh Hokit,Derrick Lewis,Josh Hokit,Heavyweight,KO/TKO,Punches,2,4:09
UFC Freedom 250,"June 14, 2026","Washington, DC, USA",http://ufcstats.com/event-details/48544433372ecfa6,http://ufcstats.com/fight-details/9a9b30b3165b62e4,Mauricio Ruffy,Michael Chandler,Mauricio Ruffy,Lightweight,KO/TKO,Punches,1,4:29
UFC Freedom 250,"June 14, 2026","Washington, DC, USA",http://ufcstats.com/event-details/48544433372ecfa6,http://ufcstats.com/fight-details/00e8d4b961a65d21,Bo Nickal,Kyle Daukaus,Bo Nickal,Middleweight,KO/TKO,Punches,1,4:34
UFC Freedom 250,"June 14, 2026","Washington, DC, USA",http://ufcstats.com/event-details/48544433372ecfa6,http://ufcstats.com/fight-details/127ba4a1ccb3d4a6,Diego Lopes,Steve Garcia,Diego Lopes,Featherweight,KO/TKO,Punches,2,2:42
UFC Fight Night: Nurmagomedov vs. Song,"August 29, 2026","Shanghai, China",http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/228fefc6923c40a5,Song Yadong,Umar Nurmagomedov,Song Yadong,Bantamweight,KO/TKO,Punch,2,1:48
UFC Fight Night: Nurmagomedov vs. Song,"August 29, 2026","Shanghai, China",http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/73cb6c4e060c4ee9,Denise Gomes,Yan Xiaonan,Denise Gomes,Women's Strawweight,KO/TKO,Elbow,1,4:49
UFC Fight Night: Nurmagomedov vs. Song,"August 29, 2026","Shanghai, China",http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/4af8cb715ac0d459,Kai Asakura,Aoriqileng,Kai Asakura,Bantamweight,KO/TKO,Punches,2,0:34
UFC Fight Night: Nurmagomedov vs. Song,"August 29, 2026","Shanghai, China",http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/48a5d9c4592d2f2a,Sumudaerji,Alex Perez,Sumudaerji,Flyweight,U-DEC,,3,5:00
UFC Fight Night: Nurmagomedov vs. Song,"August 29, 2026","Shanghai, China",http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/f894989058f2bb05,Liu Ce,Levi Rodrigues Jr.,Liu Ce,Light Heavyweight,KO/TKO,Punch,1,4:26
UFC Fight Night: Nurmagomedov vs. Song,"August 29, 2026","Shanghai, China",http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/1fe768d599c159dc,Bilal Hasan,Nilson Rojas,Bilal Hasan,Flyweight,KO/TKO,Punch,2,2:28
UFC Fight Night: Nurmagomedov vs. Song,"August 29, 2026","Shanghai, China",http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/80f7f5405d5ffca0,Andre Lima,Namsrai Batbayar,Andre Lima,Flyweight,SUB,Guillotine Choke,3,3:03
UFC Fight Night: Nurmagomedov vs. Song,"August 29, 2026","Shanghai, China",http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/ec5281a72f09d8ac,Rei Tsuruya,Kevin Borjas,Rei Tsuruya,Flyweight,SUB,Rear Naked Choke,1,4:14
UFC Fight Night: Nurmagomedov vs. Song,"August 29, 2026","Shanghai, China",http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/8a980234dab7ae43,Sean Woodson,Jack Jenkins,Sean Woodson,Featherweight,S-DEC,,3,5:00
UFC Fight Night: Nurmagomedov vs. Song,"August 29, 2026","Shanghai, China",http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/636867bbc9f96739,Francesco Nuzzi,Xiao Long,Francesco Nuzzi,Bantamweight,KO/TKO,Punches,1,1:00
UFC Fight Night: Nurmagomedov vs. Song,"August 29, 2026","Shanghai, China",http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/ab5922e10699e869,Hector Santiago,Lawrence Lui,Hector Santiago,Bantamweight,KO/TKO,Punch,2,0:53
UFC Fight Night: Nurmagomedov vs. Song,"August 29, 2026","Shanghai, China",http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/6206c62fc8f0b71b,Julia Polastri,Xiong Jingnan,Julia Polastri,Women's Strawweight,KO/TKO,Kick,1,3:06
UFC Fight Night: Nurmagomedov vs. Song,"August 29, 2026","Shanghai, China",http://ufcstats.com/event-details/9d61d8cb1c354867,http://ufcstats.com/fight-details/6cd4457edf4089f9,Cam Nelson,Ding Meng,Cam Nelson,Welterweight,U-DEC,,3,5:00
UFC on FUEL TV: Struve vs Miocic,"September 29, 2012","Nottingham, England, United Kingdom",http://ufcstats.com/event-details/6cbb7661c3258617,http://ufcstats.com/fight-details/a97a7707d5021181,Stefan Struve,Stipe Miocic,Stefan Struve,Heavyweight,KO/TKO,Punches,2,3:50
UFC on FUEL TV: Struve vs Miocic,"September 29, 2012","Nottingham, England, United Kingdom",http://ufcstats.com/event-details/6cbb7661c3258617,http://ufcstats.com/fight-details/1332dc236a3fd3b2,Dan Hardy,Amir Sadollah,Dan Hardy,Welterweight,U-DEC,,3,5:00
UFC on FUEL TV: Struve vs Miocic,"September 29, 2012","Nottingham, England, United Kingdom",http://ufcstats.com/event-details/6cbb7661c3258617,http://ufcstats.com/fight-details/21392a61a2cf24a3,Brad Pickett,Yves Jabouin,Brad Pickett,Bantamweight,KO/TKO,Punch,1,3:40
UFC on FUEL TV: Struve vs Miocic,"September 29, 2012","Nottingham, England, United Kingdom",http://ufcstats.com/event-details/6cbb7661c3258617,http://ufcstats.com/fight-details/29cd6bee493a8662,Matt Wiman,Paul Sass,Matt Wiman,Lightweight,SUB,Armbar,1,3:48
UFC on FUEL TV: Struve vs Miocic,"September 29, 2012","Nottingham, England, United Kingdom",http://ufcstats.com/event-details/6cbb7661c3258617,http://ufcstats.com/fight-details/91e4da6ecf28a7a3,John Hathaway,John Maguire,John Hathaway,Welterweight,U-DEC,,3,5:00
UFC on FUEL TV: Struve vs Miocic,"September 29, 2012","Nottingham, England, United Kingdom",http://ufcstats.com/event-details/6cbb7661c3258617,http://ufcstats.com/fight-details/4c54ca018e70ed04,Che Mills,Duane Ludwig,Che Mills,Welterweight,KO/TKO,,1,2:28
UFC on FUEL TV: Struve vs Miocic,"September 29, 2012","Nottingham, England, United Kingdom",http://ufcstats.com/event-details/6cbb7661c3258617,http://ufcstats.com/fight-details/26f876a7fb1020e1,Jimi Manuwa,Kyle Kingsbury,Jimi Manuwa,Light Heavyweight,KO/TKO,,2,5:00
UFC on FUEL TV: Struve vs Miocic,"September 29, 2012","Nottingham, England, United Kingdom",http://ufcstats.com/event-details/6cbb7661c3258617,http://ufcstats.com/fight-details/cc6934588298958e,Akira Corassani,Andy Ogle,Akira Corassani,Featherweight,S-DEC,,3,5:00
UFC on FUEL TV: Struve vs Miocic,"September 29, 2012","Nottingham, England, United Kingdom",http://ufcstats.com/event-details/6cbb7661c3258617,http://ufcstats.com/fight-details/e34d313fbe1c28f1,Brad Tavares,Tom Watson,Brad Tavares,Middleweight,S-DEC,,3,5:00
UFC on FUEL TV: Struve vs Miocic,"September 29, 2012","Nottingham, England, United Kingdom",http://ufcstats.com/event-details/6cbb7661c3258617,http://ufcstats.com/fight-details/ddf768753c8030c1,Gunnar Nelson,DaMarques Johnson,Gunnar Nelson,Catch Weight,SUB,Rear Naked Choke,1,3:34
UFC on FUEL TV: Struve vs Miocic,"September 29, 2012","Nottingham, England, United Kingdom",http://ufcstats.com/event-details/6cbb7661c3258617,http://ufcstats.com/fight-details/e0a69c1f4a019727,Robert Peralta,Jason Young,Robert Peralta,Featherweight,KO/TKO,Punch,1,0:23
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",http://ufcstats.com/event-details/079488710f012779,http://ufcstats.com/fight-details/7ca4c91bab696b89,Renato Moicano,Benoit Saint Denis,Renato Moicano,Lightweight,KO/TKO,,2,5:00
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",http://ufcstats.com/event-details/079488710f012779,http://ufcstats.com/fight-details/62ff1e5deb124ff5,Nassourdine Imavov,Brendan Allen,Nassourdine Imavov,Middleweight,U-DEC,,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",http://ufcstats.com/event-details/079488710f012779,http://ufcstats.com/fight-details/19706d8ba0edf9cd,William Gomis,Joanderson Brito,William Gomis,Featherweight,S-DEC,,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",http://ufcstats.com/event-details/079488710f012779,http://ufcstats.com/fight-details/45f00a42a17f8e2a,Bryan Battle,Kevin Jousset,Bryan Battle,Welterweight,KO/TKO,Punches,2,3:47
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",http://ufcstats.com/event-details/079488710f012779,http://ufcstats.com/fight-details/f114929ed709606e,Morgan Charriere,Gabriel Miranda,Morgan Charriere,Featherweight,KO/TKO,Punch,2,0:27
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",http://ufcstats.com/event-details/079488710f012779,http://ufcstats.com/fight-details/d806aacf5b6ba7f6,Fares Ziam,Matt Frevola,Fares Ziam,Lightweight,KO/TKO,Knee,3,2:59
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",http://ufcstats.com/event-details/079488710f012779,http://ufcstats.com/fight-details/89b772f864acb637,Ion Cutelaba,Ivan Erslan,Ion Cutelaba,Light Heavyweight,S-DEC,,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",http://ufcstats.com/event-details/079488710f012779,http://ufcstats.com/fight-details/3599e9de4ae0e171,Oumar Sy,Da Woon Jung,Oumar Sy,Light Heavyweight,U-DEC,,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",http://ufcstats.com/event-details/079488710f012779,http://ufcstats.com/fight-details/e01019fbfe0e9528,Ludovit Klein,Roosevelt Roberts,Ludovit Klein,Lightweight,U-DEC,,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",http://ufcstats.com/event-details/079488710f012779,http://ufcstats.com/fight-details/d063d46208c560b1,Taylor Lapilus,Vince Morales,Taylor Lapilus,Bantamweight,U-DEC,,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",http://ufcstats.com/event-details/079488710f012779,http://ufcstats.com/fight-details/7ba432e218edc17d,Ailin Perez,Daria Zhelezniakova,Ailin Perez,Women's Bantamweight,SUB,Arm Triangle,1,3:52
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",http://ufcstats.com/event-details/079488710f012779,http://ufcstats.com/fight-details/47d978a984a163aa,Daniel Barez,Victor Altamirano,Daniel Barez,Flyweight,U-DEC,,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",http://ufcstats.com/event-details/079488710f012779,http://ufcstats.com/fight-details/a187670c5ee1ec5f,Jacqueline Cavalcanti,Nora Cornolle,Jacqueline Cavalcanti,Women's Bantamweight,S-DEC,,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",http://ufcstats.com/event-details/079488710f012779,http://ufcstats.com/fight-details/eedc7fccf7037949,Chris Duncan,Bolaji Oki,Chris Duncan,Lightweight,SUB,Guillotine Choke,1,3:34
