fighter_url,dob,sig_str_acc,takedown_acc,slpm,sapm,str_def,td_avg,td_def,sub_avg,wins,losses,draws
http://ufcstats.com/fighter-details/0e46690e55a8df75,"Feb 08, 1999",42%,31%,2.88,3.72,55%,1.18,71%,0.0,10,4,0
http://ufcstats.com/fighter-details/040a74bb0a465c54,"Jan 22, 1994",43%,60%,3.52,3.15,60%,1.24,73%,0.3,21,4,0
http://ufcstats.com/fighter-details/b67d6bacc68d4c92,"Mar 12, 1995",40%,33%,5.15,5.38,50%,2.60,73%,0.0,14,3,0
http://ufcstats.com/fighter-details/9c442aaf149ea982,"Oct 23, 1993",44%,0%,3.85,3.25,45%,0.00,47%,0.5,7,3,0
http://ufcstats.com/fighter-details/74939a16c7b56f33,"Jun 03, 1998",41%,50%,3.72,3.40,59%,5.50,0%,0.8,16,1,1
http://ufcstats.com/fighter-details/29162be25ebef5f0,"Nov 16, 1993",43%,15%,5.44,5.35,57%,0.64,60%,0.2,11,4,0
http://ufcstats.com/fighter-details/e8fe9c15d348e778,"Dec 10, 1988",48%,29%,4.60,6.93,50%,1.71,80%,0.5,17,8,0
http://ufcstats.com/fighter-details/5f61780fe5e9b6d0,"Jun 12, 1991",49%,52%,2.75,2.99,51%,3.13,86%,1.2,13,6,0
http://ufcstats.com/fighter-details/b6c37948cb226e8c,"Sep 25, 2000",58%,60%,4.39,4.69,52%,2.43,76%,0.8,13,3,0
http://ufcstats.com/fighter-details/20bccc9bb4ceb23e,"Sep 14, 1996",47%,35%,4.29,3.19,50%,1.53,50%,0.8,26,8,0
http://ufcstats.com/fighter-details/b9706f80d005036c,"Aug 26, 1991",40%,42%,2.71,3.73,50%,1.31,90%,0.5,16,5,0
http://ufcstats.com/fighter-details/de83f920fd302871,"Jan 09, 1993",70%,33%,3.72,1.03,47%,6.41,100%,1.3,13,0,0
http://ufcstats.com/fighter-details/e93b04e308913c2e,"Apr 10, 1991",54%,53%,5.03,4.69,56%,1.21,59%,0.5,17,5,1
http://ufcstats.com/fighter-details/0f1efce7d2571d10,"Dec 22, 1989",56%,16%,2.74,3.43,47%,0.40,62%,0.4,14,8,0
http://ufcstats.com/fighter-details/476fe566d2df676e,"Feb 10, 1994",43%,66%,3.10,3.89,49%,0.21,77%,0.1,21,7,0
http://ufcstats.com/fighter-details/20d37922ba85e6fc,"Sep 27, 2003",61%,0%,1.02,3.57,26%,0.00,64%,0.0,7,1,0
http://ufcstats.com/fighter-details/3e8118c1ab52f211,"Jun 30, 1990",41%,36%,2.59,3.70,46%,2.87,33%,0.6,11,6,0
http://ufcstats.com/fighter-details/2558ae2e5671e318,"Mar 30, 1994",39%,0%,4.97,5.34,41%,0.00,51%,0.0,16,5,0
http://ufcstats.com/fighter-details/9673a497a9da119a,"Jun 14, 1992",40%,33%,2.82,2.74,52%,0.67,33%,1.5,13,9,0
http://ufcstats.com/fighter-details/2e45d08b3f2f02c8,"Jun 04, 1994",55%,0%,4.58,4.23,52%,0.00,46%,0.0,10,2,0
http://ufcstats.com/fighter-details/87f8699fdcc2c404,"Apr 19, 1992",46%,50%,7.00,4.97,61%,1.08,85%,0.2,12,7,0
http://ufcstats.com/fighter-details/64ad3e3b0efa30bb,"Nov 15, 1991",49%,37%,2.53,4.57,54%,0.93,70%,0.0,15,6,0
http://ufcstats.com/fighter-details/f14f644d41ade29f,"May 16, 1994",51%,41%,2.50,2.95,50%,1.80,66%,0.5,12,9,1
http://ufcstats.com/fighter-details/e3964ece586e0635,"Aug 29, 1997",46%,0%,5.30,2.98,68%,0.00,85%,0.0,10,2,0
http://ufcstats.com/fighter-details/f5d82eccdea4e2dd,"Nov 05, 1998",50%,0%,2.40,2.40,55%,0.00,0%,0.0,8,5,0
http://ufcstats.com/fighter-details/fc0a4053eb8a3a59,"Nov 04, 1996",39%,29%,2.88,5.59,52%,3.38,50%,1.0,9,4,0
http://ufcstats.com/fighter-details/312f7d7b2b2f7de4,"Aug 01, 1997",42%,28%,6.43,6.63,48%,0.47,85%,0.0,11,4,0
http://ufcstats.com/fighter-details/7026eca45f65377b,"Sep 06, 1988",53%,34%,5.57,4.11,55%,1.91,60%,0.0,21,9,0
http://ufcstats.com/fighter-details/767755fd74662dbf,"May 01, 1994",54%,58%,4.01,2.98,52%,5.32,87%,1.4,15,1,0
http://ufcstats.com/fighter-details/b8bbdeff718dbb7d,"Nov 09, 1990",54%,41%,1.69,1.16,54%,4.27,50%,1.3,22,5,0
http://ufcstats.com/fighter-details/99bd51917728c25d,"Feb 20, 1994",51%,39%,3.14,2.14,44%,3.58,66%,1.4,24,3,1
http://ufcstats.com/fighter-details/d1feea7a4bdcd503,"Jan 08, 2001",54%,26%,5.74,4.45,58%,2.09,100%,0.8,12,0,0
http://ufcstats.com/fighter-details/887961364be5ceb3,"Sep 09, 1986",53%,43%,6.49,3.63,62%,1.32,71%,0.3,36,17,1
http://ufcstats.com/fighter-details/b62d5280966b2460,"Jun 09, 1996",50%,35%,3.88,4.47,49%,1.75,50%,1.0,8,3,0
http://ufcstats.com/fighter-details/58bbef3770bb2dfc,"Mar 02, 1993",52%,33%,4.59,4.13,47%,0.15,48%,0.9,23,5,0
http://ufcstats.com/fighter-details/e1d40e8782d80bc2,"Jun 13, 1997",48%,38%,3.20,2.60,61%,0.73,77%,0.3,15,4,0
http://ufcstats.com/fighter-details/18968f97ad34f15c,"May 25, 1986",40%,38%,3.13,3.25,57%,1.10,61%,0.4,29,23,0
http://ufcstats.com/fighter-details/f139d6836efd43dd,"Sep 09, 1993",53%,53%,2.65,1.38,60%,11.11,0%,3.2,30,1,0
http://ufcstats.com/fighter-details/849c5d9979df5357,"Oct 03, 1992",49%,50%,5.28,4.19,54%,3.05,53%,0.4,21,5,0
http://ufcstats.com/fighter-details/6967153c7edb4d87,"Nov 22, 1990",49%,0%,5.08,6.59,60%,0.00,50%,0.0,10,5,0
http://ufcstats.com/fighter-details/0d8011111be000b2,"Feb 27, 1991",42%,62%,5.98,4.53,60%,0.66,68%,0.1,31,7,0
http://ufcstats.com/fighter-details/4461d7e47375a895,"Jan 27, 2000",54%,43%,2.87,3.10,44%,3.57,46%,1.3,18,2,0
http://ufcstats.com/fighter-details/45f7cb591c3ab00b,"Nov 23, 1992",53%,51%,4.08,2.77,59%,3.58,86%,0.8,19,2,0
http://ufcstats.com/fighter-details/17e97649403ba428,"Oct 10, 2001",57%,61%,8.26,5.83,57%,0.70,75%,0.3,18,2,0
http://ufcstats.com/fighter-details/b9437600497350f3,"Apr 27, 1994",36%,45%,3.62,3.10,58%,1.43,70%,0.1,21,8,0
http://ufcstats.com/fighter-details/9d83f6da776ff7d6,"May 04, 1992",50%,50%,4.54,5.08,53%,1.12,88%,0.0,15,5,0
http://ufcstats.com/fighter-details/fc08099550072fe4,"Oct 03, 1991",47%,50%,5.03,3.44,55%,0.36,69%,0.1,17,4,0
http://ufcstats.com/fighter-details/9384e71bca6c409d,"Jun 13, 1994",53%,26%,6.02,2.97,56%,1.05,0%,0.3,14,3,0
http://ufcstats.com/fighter-details/2f815ed5f8278ba6,"Apr 10, 2002",43%,100%,4.32,2.60,54%,0.41,93%,0.0,11,1,0
http://ufcstats.com/fighter-details/279566840aa55bf2,"Oct 24, 1988",57%,62%,4.84,2.90,54%,0.54,68%,0.2,40,11,0
http://ufcstats.com/fighter-details/d1941565abf50b16,"Aug 30, 1983",42%,45%,2.92,3.43,56%,1.49,47%,1.7,39,19,0
http://ufcstats.com/fighter-details/88be62d6c1e6dadb,"Dec 31, 2000",47%,25%,5.16,2.99,58%,0.30,65%,0.9,9,2,0
http://ufcstats.com/fighter-details/aebaa8cec15b083d,"Apr 21, 1995",32%,25%,3.85,6.20,52%,1.07,100%,0.5,8,1,0
http://ufcstats.com/fighter-details/b4443fae47e7eb9d,"Aug 09, 1996",48%,25%,3.31,3.96,46%,2.56,0%,3.6,9,4,0
http://ufcstats.com/fighter-details/d4270315cbcf2569,"Aug 26, 1995",56%,42%,4.23,2.33,55%,5.39,55%,0.8,10,3,0
http://ufcstats.com/fighter-details/d0fd0d9ee560dae7,"Aug 03, 1994",57%,0%,11.00,4.26,58%,0.00,71%,0.0,7,1,0
http://ufcstats.com/fighter-details/08af939f41b5a57b,"May 06, 1989",49%,38%,3.74,2.63,57%,2.21,82%,0.8,23,8,1
http://ufcstats.com/fighter-details/b701f095e6ccb149,"Dec 28, 2000",30%,0%,3.23,7.90,45%,0.00,0%,0.0,4,3,0
http://ufcstats.com/fighter-details/6eedb757f13b9978,"May 10, 2002",49%,33%,6.69,5.91,59%,0.43,37%,0.4,9,1,0
http://ufcstats.com/fighter-details/3261aa79bf6caa64,"Oct 11, 1990",75%,100%,1.01,1.01,29%,2.54,100%,0.0,5,2,0
http://ufcstats.com/fighter-details/f782f953bfe7b5f2,"Mar 05, 1999",43%,42%,3.85,3.64,56%,1.08,66%,0.7,10,1,0
http://ufcstats.com/fighter-details/c62fbc117d57b943,"Mar 16, 1993",48%,11%,3.25,4.36,43%,0.09,56%,0.0,15,11,0
