category,is_p4p,rank,fighter,rank_change,athlete_url
Pound-for-Pound (Men's),True,1,Islam Makhachev,,/athlete/islam-makhachev
Pound-for-Pound (Men's),True,2,Alexander Volkanovski,,/athlete/alexander-volkanovski
Pound-for-Pound (Men's),True,3,Justin Gaethje,up,/athlete/justin-gaethje
Pound-for-Pound (Men's),True,4,Petr Yan,down,/athlete/petr-yan
Pound-for-Pound (Men's),True,5,Ilia Topuria,,/athlete/ilia-topuria
Pound-for-Pound (Men's),True,6,Joshua Van,up,/athlete/joshua-van
Pound-for-Pound (Men's),True,7,Sean Strickland,,/athlete/sean-strickland
Pound-for-Pound (Men's),True,8,Tom Aspinall,down,/athlete/tom-aspinall
Pound-for-Pound (Men's),True,9,Merab Dvalishvili,down,/athlete/merab-dvalishvili
Pound-for-Pound (Men's),True,10,Alex Pereira,down,/athlete/alex-pereira
Pound-for-Pound (Men's),True,11,Ciryl Gane,down,/athlete/ciryl-gane
Pound-for-Pound (Men's),True,12,Khamzat Chimaev,,/athlete/khamzat-chimaev
Pound-for-Pound (Men's),True,13,Arman Tsarukyan,up,/athlete/arman-tsarukyan
Pound-for-Pound (Men's),True,14,Alexandre Pantoja,down,/athlete/alexandre-pantoja
Pound-for-Pound (Men's),True,15,Carlos Ulberg,NR,/athlete/carlos-ulberg
Flyweight,False,0,Joshua Van,,/athlete/joshua-van
Flyweight,False,1,Alexandre Pantoja,,/athlete/alexandre-pantoja
Flyweight,False,2,Manel Kape,,/athlete/manel-kape
Flyweight,False,3,Brandon Royval,,/athlete/brandon-royval
Flyweight,False,4,Tatsuro Taira,,/athlete/tatsuro-taira
Flyweight,False,5,Kyoji Horiguchi,,/athlete/kyoji-horiguchi
Flyweight,False,6,Lone’er Kavanagh,,/athlete/loneer-kavanagh
Flyweight,False,7,Asu Almabayev,,/athlete/assu-almabayev
Flyweight,False,8,Brandon Moreno,,/athlete/brandon-moreno
Flyweight,False,9,Amir Albazi,,/athlete/amir-albazi
Flyweight,False,10,Ramazan Temirov,,/athlete/ramazan-temirov
Flyweight,False,11,Tim Elliott,,/athlete/tim-elliott
Flyweight,False,12,Steve Erceg,,/athlete/steve-erceg
Flyweight,False,13,Sumudaerji,,/athlete/su-mudaerji
Flyweight,False,14,Tagir Ulanbekov,,/athlete/tagir-ulanbekov
Flyweight,False,15,Alex Perez,,/athlete/alex-perez
Bantamweight,False,0,Petr Yan,,/athlete/petr-yan
Bantamweight,False,1,Merab Dvalishvili,,/athlete/merab-dvalishvili
Bantamweight,False,2,Sean O'Malley,,/athlete/sean-omalley
Bantamweight,False,3,Song Yadong,,/athlete/yadong-song
Bantamweight,False,4,Umar Nurmagomedov,,/athlete/umar-nurmagomedov
Bantamweight,False,5,Mario Bautista,,/athlete/mario-bautista
Bantamweight,False,6,Cory Sandhagen,,/athlete/cory-sandhagen
Bantamweight,False,7,Aiemann Zahabi,,/athlete/aiemann-zahabi
Bantamweight,False,8,David Martinez,,/athlete/david-martinez
Bantamweight,False,9,Deiveson Figueiredo,,/athlete/deiveson-figueiredo
Bantamweight,False,10,Marlon Vera,,/athlete/marlon-vera
Bantamweight,False,11,Payton Talbott,,/athlete/payton-talbott
Bantamweight,False,12,Raul Rosas Jr.,,/athlete/raul-rosas-jr
Bantamweight,False,13,Raoni Barcelos,,/athlete/raoni-barcelos
Bantamweight,False,14,Farid Basharat,,/athlete/farid-basharat
Bantamweight,False,15,Marcus McGhee,,/athlete/marcus-mcghee
Featherweight,False,0,Alexander Volkanovski,,/athlete/alexander-volkanovski
Featherweight,False,1,Movsar Evloev,,/athlete/movsar-evloev
Featherweight,False,2,Diego Lopes,,/athlete/diego-lopes
Featherweight,False,3,Lerone Murphy,,/athlete/lerone-murphy
Featherweight,False,4,Aljamain Sterling,,/athlete/aljamain-sterling
Featherweight,False,5,Jean Silva,,/athlete/jean-silva-lord
Featherweight,False,6,Yair Rodriguez,,/athlete/yair-rodriguez
Featherweight,False,7,Arnold Allen,,/athlete/arnold-allen
Featherweight,False,8,Youssef Zalal,,/athlete/youssef-zalal
Featherweight,False,9,Kevin Vallejos,,/athlete/kevin-vallejos
Featherweight,False,10,Steve Garcia,,/athlete/steve-garcia
Featherweight,False,11,Aaron Pico,up,/athlete/aaron-pico
Featherweight,False,12,Melquizael Costa,up,/athlete/melquizael-costa
Featherweight,False,13,Brian Ortega,down,/athlete/brian-ortega
Featherweight,False,14,Patricio Pitbull,up,/athlete/patricio-pitbull-freire
Featherweight,False,15,David Onama,down,/athlete/david-onama
Lightweight,False,0,Justin Gaethje,,/athlete/justin-gaethje
Lightweight,False,1,Ilia Topuria,,/athlete/ilia-topuria
Lightweight,False,2,Arman Tsarukyan,,/athlete/arman-tsarukyan
Lightweight,False,3,Charles Oliveira,,/athlete/charles-oliveira
Lightweight,False,4,Max Holloway,,/athlete/max-holloway
Lightweight,False,5,Paddy Pimblett,,/athlete/paddy-pimblett
Lightweight,False,6,Benoit Saint Denis,,/athlete/benoit-saint-denis
Lightweight,False,7,Quillan Salkilld,up,/athlete/quillan-salkilld
