event_name,event_date,location,event_url,fight_url,fighter_1,fighter_2,winner,weight_class,method,method_detail,round,time
UFC Fight Night: Rosas Jr. vs. Barcelos,"September 26, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/7e654edcddd71550,http://ufcstats.com/fight-details/0e55d8a3d7a73912,Raul Rosas Jr.,Raoni Barcelos,,Bantamweight,,,,
UFC Fight Night: Rosas Jr. vs. Barcelos,"September 26, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/7e654edcddd71550,http://ufcstats.com/fight-details/5a5395d939bb3ff3,Rodolfo Vieira,Robert Bryczek,,Middleweight,,,,
UFC Fight Night: Rosas Jr. vs. Barcelos,"September 26, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/7e654edcddd71550,http://ufcstats.com/fight-details/3a70ed81e5611d24,Mahammadali Osmanli,Ilimbek Akylbek,,Bantamweight,,,,
UFC Fight Night: Rosas Jr. vs. Barcelos,"September 26, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/7e654edcddd71550,http://ufcstats.com/fight-details/7bff1b7a45666e98,Melissa Amaya,Tina Black,,Women's Strawweight,,,,
UFC Fight Night: Rosas Jr. vs. Barcelos,"September 26, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/7e654edcddd71550,http://ufcstats.com/fight-details/29423f522e76f12e,Brady Hiestand,Rinya Nakamura,,Bantamweight,,,,
UFC Fight Night: Rosas Jr. vs. Barcelos,"September 26, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/7e654edcddd71550,http://ufcstats.com/fight-details/30b73c201daa089c,Rodolfo Bellato,Christian Edwards,,Light Heavyweight,,,,
UFC Fight Night: Rosas Jr. vs. Barcelos,"September 26, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/7e654edcddd71550,http://ufcstats.com/fight-details/15d95453729f4c2c,Elves Brener,Josiah Harrell,,Lightweight,,,,
UFC Fight Night: Rosas Jr. vs. Barcelos,"September 26, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/7e654edcddd71550,http://ufcstats.com/fight-details/9037b26e92e25357,Montel Jackson,Ricky Simon,,Bantamweight,,,,
UFC Fight Night: Rosas Jr. vs. Barcelos,"September 26, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/7e654edcddd71550,http://ufcstats.com/fight-details/5e5d01e437bced71,Norma Dumont,Ailin Perez,,Women's Bantamweight,,,,
UFC Fight Night: Rosas Jr. vs. Barcelos,"September 26, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/7e654edcddd71550,http://ufcstats.com/fight-details/577011f3bbcf7f91,John Castaneda,Alatengheili,,Bantamweight,,,,
