name,approx_roster_start,approx_roster_end,source,source_url,image_url,local_path
Randy Couture,1997-05-30,2011-04-30,Wikipedia,https://en.wikipedia.org/wiki/Randy_Couture,https://upload.wikimedia.org/wikipedia/commons/7/73/Randy_Couture_by_Gage_Skidmore_2.jpg,downloaded_photos/old_fighters/randy-couture.jpg
Chuck Liddell,1998-05-15,2010-06-12,Wikipedia,https://en.wikipedia.org/wiki/Chuck_Liddell,https://upload.wikimedia.org/wikipedia/commons/4/48/Chuck_Liddell_in_Santa_Monica-California_2005_photo_by_Ithaka_Darin_Pappas.jpg,downloaded_photos/old_fighters/chuck-liddell.jpg
Tito Ortiz,1997-05-30,2012-07-07,Wikipedia,https://en.wikipedia.org/wiki/Tito_Ortiz,https://upload.wikimedia.org/wikipedia/commons/1/16/Tito_Ortiz.jpg,downloaded_photos/old_fighters/tito-ortiz.jpg
Ken Shamrock,1994-09-09,2006-10-10,Wikipedia,https://en.wikipedia.org/wiki/Ken_Shamrock,https://upload.wikimedia.org/wikipedia/commons/a/a9/Ken_Shamrock_2016_%28cropped%29.jpg,downloaded_photos/old_fighters/ken-shamrock.jpg
Royce Gracie,1994-03-11,2006-05-27,Wikipedia,https://en.wikipedia.org/wiki/Royce_Gracie,https://upload.wikimedia.org/wikipedia/commons/1/16/Royce_Gracie_Photo_Pose_4975753_%28cropped%29.jpg,downloaded_photos/old_fighters/royce-gracie.jpg
Mark Coleman,1996-07-12,2010-02-06,Wikipedia,https://en.wikipedia.org/wiki/Mark_Coleman,https://upload.wikimedia.org/wikipedia/commons/9/90/Mark_Coleman_At_TIFF_2025_02.jpg,downloaded_photos/old_fighters/mark-coleman.jpg
Frank Mir,2001-11-02,2016-03-19,Wikipedia,https://en.wikipedia.org/wiki/Frank_Mir,https://upload.wikimedia.org/wikipedia/commons/4/48/Frank_Mir_GCW_Bloodsport_%28cropped%29.jpg,downloaded_photos/old_fighters/frank-mir.jpg
Cain Velasquez,2008-04-19,2019-02-17,Wikipedia,https://en.wikipedia.org/wiki/Cain_Velasquez,https://upload.wikimedia.org/wikipedia/commons/7/7b/Cain_Velasquez.jpg,downloaded_photos/old_fighters/cain-velasquez.jpg
Fabricio Werdum,2007-04-21,2020-07-25,Wikipedia,https://en.wikipedia.org/wiki/Fabr%C3%ADcio_Werdum,https://upload.wikimedia.org/wikipedia/commons/8/8f/Fabr%C3%ADcio_Werdum_Web_Summit_Rio_2023.jpg,downloaded_photos/old_fighters/fabricio-werdum.jpg
Junior Dos Santos,2008-10-25,2020-12-12,Wikipedia,https://en.wikipedia.org/wiki/Junior_dos_Santos,https://upload.wikimedia.org/wikipedia/commons/d/db/Junior_dos_Santos.jpg,downloaded_photos/old_fighters/junior-dos-santos.jpg
